A,B,DATE,TIME,DURATION,FIRST CELL ID,LAST CELL ID,IMEI A,IMSI A,A ADDRESS
Rasia,Reichhardt,7/23/2022,2:35 PM,28,0404-6918,43419-601,3.5573E+15,3.74622E+14,8th Floor
Vonnie,Belbin,4/27/2022,5:38 AM,29,16590-282,36987-3121,3.57287E+15,5.10017E+15,11th Floor
Parnell,Killbey,8/14/2022,1:57 PM,31,65785-160,0113-0142,3.55476E+15,5.43206E+15,Room 778
Arlana,McPike,12/26/2022,12:39 AM,51,49348-890,68788-9547,6.75948E+15,3.53711E+15,Apt 1854
Gizela,Wikey,07-10-2022,9:33 AM,70,63029-401,60512-6188,3.05006E+13,2.01737E+14,Room 1228
Al,Hardage,5/23/2022,8:01 AM,14,60760-420,62756-218,5.89353E+16,4.91337E+15,Room 710
Reynold,Stawell,04-03-2022,11:30 PM,87,57520-0017,60505-3409,4.50804E+15,6.04225E+14,Room 607
Skipp,Bonniface,11/30/2022,9:10 PM,12,55154-1390,53645-1140,5.02003E+16,3.74284E+14,PO Box 43903
Brett,Caton,4/25/2022,9:57 PM,59,53808-0239,0904-6189,3.56141E+15,3.53099E+15,Room 536
Alica,Paule,4/30/2022,11:59 AM,78,41190-368,49348-511,3.52915E+15,3.53584E+15,PO Box 38811
Mora,Siene,6/29/2022,6:32 AM,68,0006-5420,13668-035,3.5777E+15,3.55957E+15,Apt 1491
Nolie,Grieg,05-09-2022,1:05 PM,63,0941-0427,0378-0873,2.01898E+14,6.76705E+18,Apt 1062
Gusella,Pull,2/26/2022,4:12 PM,18,0245-0039,61957-0401,3.65485E+13,4.8448E+15,PO Box 129
Carmen,Gettins,02-09-2022,1:02 AM,65,63049-102,49520-104,3.04378E+13,3.53204E+15,PO Box 87901
Susanetta,Nicholes,1/19/2023,11:25 AM,70,55910-688,36987-2300,3.55436E+15,6.3823E+15,PO Box 24790
Judi,Eisikovitsh,8/20/2022,6:42 AM,88,0781-3125,36987-2352,3.43474E+14,6.70941E+17,13th Floor
Barnabas,Emm,1/15/2023,9:25 AM,60,67544-892,14537-408,5.60222E+15,3.55576E+15,Apt 163
Josi,Ravilious,11/23/2022,11:17 AM,89,76340-2001,0268-6528,6.33111E+17,5.60223E+15,Room 1684
Fabe,Gloyens,12-06-2022,4:56 PM,75,76138-107,49999-176,4.9138E+15,4.90583E+17,Room 1097
Constance,Turpey,5/27/2022,8:59 PM,48,57520-0495,63323-772,3.53185E+15,4.0416E+12,PO Box 78430
Jessamine,Tollfree,10-09-2022,1:39 PM,66,52773-244,54973-0628,5.60224E+15,2.01696E+14,Room 159
Rafaelia,Cardenosa,07-11-2022,12:55 AM,67,54868-6252,64942-1074,3.56099E+15,3.53551E+15,12th Floor
Mignon,Lidgely,8/23/2022,1:07 PM,24,13630-0053,59779-467,5.60225E+15,3.53947E+15,13th Floor
Mag,Trenfield,12-10-2022,1:46 PM,24,49349-647,0378-5426,6.70925E+18,5.60223E+17,15th Floor
Sergent,Robertz,6/21/2022,11:33 PM,87,0456-2101,57955-5071,5.89387E+16,3.54454E+15,Apt 519
Winny,Cabera,11/28/2022,8:30 PM,70,60760-812,16590-005,3.55424E+15,5.60221E+15,Apt 1570
Starla,Vowden,01-03-2023,12:35 PM,32,43596-0019,57896-681,3.53055E+15,5.60221E+18,Apt 656
Hermione,Leacock,06-05-2022,5:56 AM,50,55154-2051,75981-007,6.30451E+18,3.52868E+15,Room 1948
Letti,Linnell,3/27/2022,7:59 PM,42,68788-9855,51285-128,6.75974E+18,4.45206E+15,Apt 1571
Damiano,Featherstone,6/19/2022,9:44 AM,86,11523-7155,59535-7801,3.53697E+15,3.5434E+15,Suite 99
Ethelbert,Devany,10/13/2022,1:29 AM,88,59779-063,65044-5113,4.84414E+15,3.5605E+15,Room 403
Jareb,Derl,6/21/2022,7:13 PM,47,68428-056,56062-304,5.60224E+15,3.55084E+15,4th Floor
Jae,Hilliam,6/19/2022,1:22 AM,31,0574-0150,64778-0493,3.55134E+15,3.72302E+14,Room 756
Stefanie,O' Cuolahan,4/27/2022,11:30 PM,14,62742-4041,49349-737,4.04138E+15,5.56989E+15,Apt 416
Ingra,Bartlomiejczyk,04-01-2022,7:28 PM,100,11673-271,60505-0096,4.84469E+15,3.55804E+15,Room 1238
Crystie,Drynan,11-10-2022,8:29 PM,28,0310-0201,67296-0560,5.89339E+16,3.74288E+14,PO Box 51241
Carilyn,Robrow,8/17/2022,10:09 AM,13,0006-0573,0485-0254,4.90573E+15,3.05865E+13,PO Box 12064
Ethe,Zapater,7/21/2022,2:24 PM,24,10742-8543,0406-1010,3.56482E+15,3.56253E+15,PO Box 55410
Tim,Lannen,10/23/2022,10:01 AM,71,0591-1119,37808-306,5.10017E+15,3.5726E+15,Suite 11
Susy,Bratchell,01-06-2023,2:22 PM,19,63776-373,63868-977,3.01153E+13,6.70652E+15,Suite 7
Ilyse,Crossley,02-04-2022,8:02 AM,10,0536-4088,55143-013,6.70654E+15,4.02659E+15,Room 992
Rocky,Roistone,11-07-2022,2:49 PM,65,61995-2392,58876-106,3.00351E+13,3.58637E+15,Apt 1385
Marybeth,Muldoon,12-11-2022,12:51 AM,42,49371-025,51345-106,3.56812E+15,3.56742E+15,Room 1382
Nehemiah,Jakubczyk,01-08-2023,9:30 PM,82,30142-122,55910-081,5.60224E+15,3.53646E+15,Apt 179
Lorianna,Shakesbye,9/17/2022,12:25 PM,58,53329-162,67510-0657,3.5324E+15,3.48682E+14,Room 124
Salem,Dearn,01-04-2023,1:48 PM,30,50436-3175,12745-177,3.58422E+15,3.74288E+14,PO Box 81329
Kalindi,Farrans,10/17/2022,11:55 AM,95,43857-0044,49349-850,5.0185E+16,3.53051E+15,Apt 1655
Duffie,Pittel,10-08-2022,7:50 AM,51,36987-2936,50387-200,4.175E+15,6.37771E+15,PO Box 2935
Alecia,Emanuelli,12-01-2022,8:34 AM,99,67691-101,55714-2270,3.55747E+15,4.50875E+15,1st Floor
Jobyna,Purchase,2/25/2022,1:58 PM,23,49348-246,43353-927,3.57214E+15,5.10015E+15,PO Box 33640
Codi,Blinman,04-05-2022,1:59 AM,22,63323-471,55315-552,5.60225E+18,3.54096E+15,PO Box 27325
Kristina,Stobbe,1/14/2023,8:53 AM,58,54473-257,49967-555,3.57797E+15,3.57922E+15,Room 151
Veda,Jiranek,10/13/2022,4:41 PM,55,48951-5071,36987-3362,3.56737E+15,3.57485E+15,Room 1060
Frankie,Alty,10-01-2022,7:30 AM,36,51770-001,31722-518,6.37566E+15,6.70686E+16,Suite 32
Amata,Eates,4/16/2022,4:14 AM,94,0378-0424,0378-1902,5.31098E+15,3.53768E+15,Apt 182
Phylys,Popov,7/27/2022,11:17 PM,47,49035-559,0268-6735,5.56803E+15,5.00235E+15,Room 1508
Sula,Spacy,07-11-2022,7:53 AM,42,68382-266,36987-2366,6.30413E+18,5.60226E+16,Suite 34
Oliviero,Nissle,2/14/2022,6:30 AM,57,11822-0490,0007-3370,5.4368E+15,3.56605E+15,PO Box 1324
Aldon,Buckmaster,5/18/2022,3:09 AM,13,0527-1346,55154-3446,4.0416E+15,6.30495E+16,Suite 79
Forster,Toderi,12/20/2022,10:48 PM,19,52648-6175,53499-5273,6.39566E+15,3.58287E+15,Room 1540
Julietta,Zamudio,3/26/2022,5:27 AM,29,65841-066,57896-784,3.03735E+13,2.01648E+14,Apt 393
Milzie,Itzchaky,8/15/2022,1:43 AM,69,55111-221,0363-4246,3.57671E+15,5.60222E+15,Apt 246
Sigismond,Kloska,5/13/2022,5:16 PM,17,68788-8999,50804-845,3.57556E+15,3.58543E+15,Apt 518
Rhodie,Brazier,1/27/2023,12:43 PM,70,50474-300,10544-531,5.60223E+18,3.05326E+13,Apt 119
Quintina,Slafford,8/27/2022,4:36 AM,49,52460-003,42254-281,3.57214E+15,6.75965E+18,PO Box 38091
Gerri,Kliesl,3/26/2022,4:00 AM,26,0615-1379,43538-900,6.30491E+17,5.61012E+15,5th Floor
Adriana,Gaze,1/18/2023,12:51 AM,43,11673-199,48951-4104,5.10013E+15,3.55366E+15,13th Floor
Dalt,Dessaur,10-02-2022,3:19 AM,77,52670-556,43846-0023,3.58857E+15,2.01995E+14,PO Box 42069
